id,Plats,attack,Typ,Datum,Beskrivning,lat,lon
4,Kungsgatan,1,Bulle/bullar med vasst föremål,2020-12-30,Bullar med glas,55.604466,13.016624
5,Kungsgatan,1,Bulle/bullar med vasst föremål,2020-12-30,Någon har placerat fyra bullar innehållandes glas bitar i en park i syfte att skada hundar,55.603305,13.015221
6,Kungsgatan 34,1,Bulle/bullar med vasst föremål,2020-12-30,Någon har lagt ut en brödbit med glassplitter på marken i syfte att skada djur,55.60288226709824,13.014925549972062
7,Rönneholmsparken,1,Bulle/bullar med vasst föremål,2021-01-03,Bullar med glas,55.59499487316621,12.97469546387726
8,Mäster Henriksgatan,1,Bulle/bullar med vasst föremål,2021-01-07,Bullar med glas,55.597603,13.016502
9,St Knuts Väg,1,Bulle/bullar med vasst föremål,2021-01-07,Bullar med glas,55.597869813893986,13.01567651502491
12,Mäster Henriksgatan,1,Bulle/bullar med vasst föremål,2021-01-08,Bullar med glas,55.597603,13.016502
13,Mäster Henriksgatan,1,Bulle/bullar med vasst föremål,2021-01-08,Bullar med glas,55.59679638343081,13.015257869620365
14,Hantverkaregatan 6,1,Bulle/bullar med vasst föremål,2021-01-08,Bullar med glas,55.597931274818116,13.012312478733838
16,Spånehusvägen 63,1,Bulle/bullar med vasst föremål,2021-01-19,Bullar med glas,55.5964403854344,13.020657277665096
17,Kamrergatan 29,1,Bulle/bullar med vasst föremål,2021-01-19,Bullar med glas,55.59758658044791,13.014555440100022
18,Torekovsgatan,1,Bulle/bullar med vasst föremål,2021-01-19,Bullar med glas,55.592351803516294,13.022517557992701
19,Torekovsgatan 18,1,Bulle/bullar med vasst föremål,2021-02-01,Bullar med glas,55.59239908789753,13.022818933876533
20,Uddeholmsgatan,1,Bulle/bullar med vasst föremål,2021-02-03,Bullar med glas,55.583600787979705,13.023496641570272
21,Bodekullsgatan 23,1,Bulle/bullar med vasst föremål,2021-02-04,Bullar med glas,55.59306441722605,13.022674340079291
22,Augustenborgsgatan 3,1,Bulle/bullar med vasst föremål,2021-02-07,Bullar med glas,55.581257645939644,13.021204950015658
23,Särlagatan 13,1,Bulle/bullar med vasst föremål,2021-02-12,Bullar med glas,55.580309606214286,13.022205741637379
26,Särlagatan 13,1,Bulle/bullar med vasst föremål,2021-02-22,Bullar med glas,55.580309606214286,13.022205741637379
27,Lönngatan,1,Bulle/bullar med vasst föremål,2021-03-16,"Bullar med metallföremål, klippta i kors",55.584275596090464,13.018993839043027
28,Thottsgatan,1,Bulle/bullar med vasst föremål,2021-03-16,Bullar med metallföremål och glas,55.59910379693838,12.991446936847035
29,Lönngatan 4,1,Bulle/bullar med vasst föremål,2021-03-16,"Bullar med metallföremål, klippta i kors",55.58697093428287,13.01247547218486
30,Nobelvägen/Spårvägsgata,1,Bulle/bullar med vasst föremål,2021-03-24,Bullar med metallföremål,55.58721632016571,13.011374899218213
31,Hantverkaregatan 14,1,Bulle/bullar med vasst föremål,2021-03-25,Bullar med rakblad,55.59772836735268,13.012598318069651
32,August Palms Plats 1,1,Bulle/bullar med vasst föremål,2021-03-25,"Bullar med metallföremål, klippta i kors",55.59840974774287,13.007698930370362
33,August Palms Plats,1,Bulle/bullar med vasst föremål,2021-03-25,Bullar med glas,55.59835587104161,13.007569779209026
34,Henrik Smithsgatan 9,1,Bulle/bullar med vasst föremål,2021-03-25,Bullar med metallföremål,55.598007470327055,13.01137764387595
35,Kamrergatan 29,1,Bulle/bullar med vasst föremål,2021-03-25,"Bullar med metallföremål, klippta i kors",55.59758658044791,13.014555440100022
36,Torpgatan,1,Bulle/bullar med vasst föremål,2021-04-01,Bullar med rakblad,55.59708540858074,13.007037027488211
37,Thottsgatan,1,Bulle/bullar med vasst föremål,2021-04-01,Bullar med metallföremål,55.59910379693838,12.991446936847035
38,Olofsborgsgatan 3,1,Bulle/bullar med vasst föremål,2021-04-01,Bullar med glas,55.58314370652908,13.03129329167588
39,Hantverkaregatan,1,Bulle/bullar med vasst föremål,2021-04-01,"Bullar med metallföremål, klippta i kors",55.59822042302554,13.011784030148466
40,Thottsgatan,1,Bulle/bullar med vasst föremål,2021-04-22,Bullar med metallföremål,55.59910379693838,12.991446936847035
46,Mäster Danielsgatan,1,Bulle/bullar med vasst föremål,2021-08-07,"Bullar med metallföremål, klippta i kors",55.59660674346004,13.014755456671303
47,Kiviksgatan,1,Bulle/bullar med vasst föremål,2021-08-11,Bullar med vasst föremål,55.591949173685,13.02395320309914
48,Bodekullsgatan 29,1,Bulle/bullar med vasst föremål,2021-08-13,Bullar med metallföremål,55.5927741923473,13.024161593041834
49,Agnesfridsvägen,1,Bulle/bullar med vasst föremål,2021-08-16,Bullar med metallföremål,55.57821547172244,13.058058023435784
50,Karlskronaplan 8,1,Bulle/bullar med vasst föremål,2021-08-19,Bulle med glas,55.5941363107579,13.018453739071894
51,Kungsgatan 34,1,Bulle/bullar med vasst föremål,2021-08-29,"Bullar med metallföremål, klippta i kors",55.60289932814433,13.01494959998841
52,Nydalavägen 7,1,Bulle/bullar med vasst föremål,2021-08-31,"Bullar med metallföremål, klippta i kors",55.574388261392926,13.024984441927483
53,Spångatan 40,1,Bulle/bullar med vasst föremål,2021-08-31,"Bullar med metallföremål, klippta i kors",55.59625546933432,13.012106166033103
54,Lugna Gatan 60,1,Bulle/bullar med vasst föremål,2021-08-31,Bullar med metallföremål,55.59894320726407,13.00502090132263
55,Karlskronaplan 9,1,Bulle/bullar med vasst föremål,2021-08-31,"Bullar med metallföremål, klippta i kors",55.59376300349587,13.019059745666173
57,Lugna Gatan,1,Bulle/bullar med vasst föremål,2021-09-01,Bullar med metallföremål,55.598770422843955,13.004782642608484
58,Regementsgatan 20,1,Bulle/bullar med vasst föremål,2021-09-11,"Bullar med metallföremål, klippta i kors",55.60076576785337,12.996721843949437
59,Kungsgatan 10,1,Bulle/bullar med vasst föremål,2021-09-12,"Bullar med metallföremål, klippta i kors",55.60055409075159,13.007950544619826
60,Kungsgatan 3,1,Bulle/bullar med vasst föremål,2021-09-12,Bullar med metallföremål,55.600282383827675,13.005348671794302
61,Rönneholmsparken,1,Bulle/bullar med vasst föremål,2021-09-13,Bullar med metallföremål,55.594857,12.975452
62,Kungsparken,1,Bulle/bullar med vasst föremål,2021-09-18,Bullar med metallföremål,55.60346007655793,12.992072429714733
63,Kungsparken,1,Bulle/bullar med vasst föremål,2021-09-18,Bullar med metallföremål,55.60351462645468,12.991975873148759
64,Malmöhusvägen 1,1,Bulle/bullar med vasst föremål,2021-09-19,"Bullar med metallföremål, klippta i kors",55.60574186084815,12.991264699971804
65,Rödkullastigen,1,Bulle/bullar med vasst föremål,2021-09-20,"Bullar med metallföremål, klippta i kors",55.57667418085195,13.01600612740268
66,Östra Rönneholmsvägen 2,1,Bulle/bullar med vasst föremål,2021-09-23,"Bullar med metallföremål, klippta i kors",55.59693701612688,12.99429000009188
67,Teaterparken,1,Bulle/bullar med vasst föremål,2021-09-24,Bullar med rakblad,55.59649057658568,12.994971489357555
68,Slottsparken,1,Bulle/bullar med vasst föremål,2021-09-24,"Bullar med metallföremål, klippta i kors",55.60191309512292,12.98885482320255
69,Bunkeflovägen,1,Bulle/bullar med vasst föremål,2021-09-25,Bullar med spik,55.55974109295759,12.925695657291051
70,Pildammsparken,1,Bulle/bullar med vasst föremål,2021-10-02,Bullar med metallföremål och korv,55.591102420380494,12.987338942380026
71,Stadionparken,1,Bulle/bullar med vasst föremål,2021-10-09,Bullar med metallföremål,55.58304211765445,12.992811362496317
74,Kamrergatan ,1,Bulle/bullar med vasst föremål,2021-11-24,"Bullar med metallföremål, klippta i kors",55.59878758409923,13.012976329456176
75,Vitemöllegatan,1,Bulle/bullar med vasst föremål,2021-11-24,Bullar med rakblad,55.589496387518544,13.025680114087969
76,Abbekåsgatan 13,1,Bulle/bullar med vasst föremål,2021-11-24,"Bullar med metallföremål, klippta i kors",55.59230960069908,13.020988489910595
77,Torekovsplan,1,Bulle/bullar med vasst föremål,2021-11-24,"Bullar med metallföremål, klippta i kors",55.59249003022858,13.022475612701536
82,Roskildevägen/Karl Gustavs väg,1,Bulle/bullar med vasst föremål,2022-02-07,Tavelspikar i en bulle,55.59472295708296,12.992929223914555
83,Södra Promenaden,1,Bulle/bullar med vasst föremål,2022-02-13,"Bullar med metallföremål, rakblad",55.60370786500615,13.00862213052029
84,Hallingsgatan 5,1,Bulle/bullar med vasst föremål,2022-02-14,"Bullar med metallföremål, klippta i kors",55.58683,12.982668
91,Högatorpsvägen 35,1,Bulle/bullar med vasst föremål,2022-02-18,Bullar med metallföremål i,55.582377686650744,13.072277919531121
109,Kung Oscars väg,1,Bulle/bullar med vasst föremål,2022-08-26,Metallbitar på en hundrastplats,55.5998794789509,12.986005097445597
113,Högerudsgatan ,1,Bulle/bullar med vasst föremål,2022-10-11,Brödbullar innehållande glassplitter intill hundlatrin,55.58652537935135,12.942728977232651
119,Hantverkaregatan 12 ,1,Bulle/bullar med vasst föremål,2022-11-25,Bullar med metallföremål klippta i kors,55.59784609986407,13.012430057564288
121,Hantverkaregatan 12,1,Bulle/bullar med vasst föremål,2022-11-25,Degklumpar med vassa metallplåtar,55.597847345244645,13.012352007884678
122,Roskildevägen ,1,Bulle/bullar med vasst föremål,2022-12-01,Vetebullar preparerade med nubb/småspik längs en gata,55.59277966082986,12.988830499964598
123,John Ericssons väg/Pildammsvägen,1,Bulle/bullar med vasst föremål,2022-12-01,Mindre brödbullar som preparerats med häftstift,55.5870677834379,12.997057729674962
125,Norra Grängesbergsgatan 44,1,Bulle/bullar med vasst föremål,2022-12-06,Flera små brödbullar med metallbitar klippta som kors på hundrastplats,55.57955413766974,13.025160965942277
126,Kungsgatan,1,Bulle/bullar med vasst föremål,2022-12-18,Bullar med stålbitar i,55.603105970356744,13.01364607223831
127,Södra Promenaden,1,Bulle/bullar med vasst föremål,2022-12-18,Två bullar med metallbitar klippta som kors,55.60533886694427,13.013504860430643
128,Kulladalsgatan 6,1,Bulle/bullar med vasst föremål,2022-12-21,Tio bullar med inbakade rakblad klippta i kors,55.57240934792016,13.00247854237962
129,Kulladalsgatan,1,Bulle/bullar med vasst föremål,2022-12-21,Gångbanan längs med gångbanan Kulladlalsgatan 6-10,55.572061008460985,13.001409379904644
131,Kamrergatan 27,1,Bulle/bullar med vasst föremål,2022-12-27,Hund ätit av brödbullar med inbakade metallbitar,55.59766243888818,13.014349517291746
132,Bokhållaregatan,1,Bulle/bullar med vasst föremål,2022-12-27,Bakade brödbullar med metallbitar klippta som ett kors,55.59704958386011,13.015599416057244
